112.679257110      37.720523103       0.00	3.034255	0.000000  1592479018.2574
112.679257108      37.720523104       0.00	3.034290	0.000000  1592479018.3590
112.679257106      37.720523105       0.00	3.034307	0.000000  1592479018.4573
112.679257103      37.720523105       0.00	3.034359	0.000000  1592479018.5589
112.679257101      37.720523107       0.00	3.034342	0.000000  1592479018.6572
112.679257097      37.720523108       0.00	3.034342	0.000000  1592479018.7579
112.679257094      37.720523109       0.00	3.034395	0.000000  1592479018.8571
112.679257090      37.720523111       0.00	3.034447	0.000000  1592479018.9579
112.679257086      37.720523113       0.00	3.034447	0.000000  1592479019.0573
112.679257081      37.720523114       0.00	3.034447	0.000000  1592479019.1587
112.679257101      37.720523106       0.00	3.034429	0.000000  1592479019.2609
112.679257098      37.720523107       0.00	3.034447	0.000000  1592479019.3575
112.679257095      37.720523109       0.00	3.034447	0.000000  1592479019.4567
112.679257090      37.720523110       0.00	3.034552	0.000000  1592479019.5571
112.679257086      37.720523112       0.00	3.034569	0.000000  1592479019.6574
112.679257081      37.720523114       0.00	3.034534	0.000000  1592479019.7569
112.679257076      37.720523115       0.00	3.034499	0.000000  1592479019.8574
112.679257071      37.720523117       0.00	3.034499	0.000000  1592479019.9567
112.679257065      37.720523120       0.00	3.034534	0.000000  1592479020.0582
112.679257059      37.720523122       0.00	3.034552	0.000000  1592479020.1579
112.679257094      37.720523109       0.00	3.034534	0.000000  1592479020.2581
112.679257091      37.720523110       0.00	3.034516	0.000000  1592479020.3568
112.679257088      37.720523112       0.00	3.034482	0.000000  1592479020.4573
112.679257084      37.720523113       0.00	3.034499	0.000000  1592479020.5567
112.679257080      37.720523115       0.00	3.034482	0.000000  1592479020.6599
112.679257076      37.720523117       0.00	3.034516	0.000000  1592479020.7586
112.679257071      37.720523120       0.00	3.034569	0.000000  1592479020.8570
112.679257066      37.720523122       0.00	3.034586	0.000000  1592479020.9571
112.679257054      37.720523124       0.00	3.035127	0.000000  1592479021.0571
112.679257047      37.720523127       0.00	3.035197	0.000000  1592479021.1569
112.679257070      37.720523108       0.00	3.037396	0.000000  1592479021.2576
112.679257030      37.720523110       0.00	3.039299	0.000000  1592479021.3566
112.679256994      37.720523113       0.00	3.041254	0.000000  1592479021.4567
112.679256964      37.720523111       0.00	3.046088	0.000000  1592479021.5567
112.679256942      37.720523113       0.00	3.048496	0.000000  1592479021.6573
112.679256924      37.720523113       0.00	3.050731	0.000000  1592479021.7577
112.679256893      37.720523114       0.00	3.054798	0.000000  1592479021.8570
112.679256850      37.720523111       0.00	3.060906	0.000000  1592479021.9578
112.679256788      37.720523110       0.00	3.069894	0.000000  1592479022.0567
112.679256727      37.720523107       0.00	3.079965	0.000000  1592479022.1578
112.679256730      37.720523056       0.00	3.086458	0.000000  1592479022.2591
112.679256738      37.720523057       0.00	3.085742	0.000000  1592479022.3568
112.679256739      37.720523054       0.00	3.085899	0.000000  1592479022.4572
112.679256743      37.720523052       0.00	3.085795	0.000000  1592479022.5567
112.679256742      37.720523050       0.00	3.085550	0.000000  1592479022.6570
112.679256744      37.720523048       0.00	3.085323	0.000000  1592479022.7569
112.679256736      37.720523049       0.11	3.084241	0.257371  1592479022.8568
112.679256708      37.720523054       0.12	3.081396	0.284227  1592479022.9571
112.679256678      37.720523058       0.16	3.078202	0.375986  1592479023.0572
112.679256613      37.720523069       0.16	3.072757	0.375986  1592479023.1568
112.679256568      37.720523138       0.19	3.068847	0.436412  1592479023.2629
112.679256489      37.720523151       0.20	3.065933	0.481172  1592479023.3576
112.679256441      37.720523166       0.19	3.057503	0.449840  1592479023.4572
112.679256387      37.720523185       0.20	3.049823	0.461030  1592479023.5569
112.679256318      37.720523200       0.20	3.041009	0.474458  1592479023.6580
112.679256247      37.720523219       0.24	3.031270	0.570693  1592479023.7588
112.679256179      37.720523230       0.21	3.027308	0.496838  1592479023.8571
112.679256165      37.720523230       0.17	3.028164	0.391652  1592479023.9568
112.679256154      37.720523230       0.17	3.029455	0.391652  1592479024.0573
112.679256115      37.720523236       0.17	3.029386	0.391652  1592479024.1566
112.679256318      37.720523282       0.05	3.028879	0.114139  1592479024.2607
112.679256208      37.720523295       0.40	3.030101	-0.196945  1592479024.3581
112.679256080      37.720523313       0.52	3.030991	-0.044760  1592479024.4585
112.679255935      37.720523331       0.60	3.031759	-0.080568  1592479024.5568
112.679255782      37.720523352       0.65	3.031968	-0.035808  1592479024.6572
112.679255626      37.720523372       0.68	3.032161	-0.062664  1592479024.7571
112.679255454      37.720523394       0.71	3.032579	-0.044760  1592479024.8604
112.679255257      37.720523420       0.71	3.032004	-0.044760  1592479024.9568
112.679255054      37.720523445       0.86	3.031375	0.053712  1592479025.0568
112.679254835      37.720523473       0.86	3.031200	0.020142  1592479025.1574
112.679254383      37.720523495       0.93	3.031288	0.026856  1592479025.2575
112.679254154      37.720523522       0.95	3.030973	0.060426  1592479025.3568
112.679253916      37.720523550       0.93	3.030991	-0.008952  1592479025.4571
112.679253668      37.720523580       1.01	3.030817	-0.053712  1592479025.5574
112.679253434      37.720523607       1.01	3.030398	-0.053712  1592479025.6574
112.679253170      37.720523638       1.00	3.030380	-0.154423  1592479025.7566
112.679252905      37.720523667       1.04	3.030363	-0.033570  1592479025.8566
112.679252634      37.720523698       1.05	3.030503	0.008952  1592479025.9581
112.679252335      37.720523733       1.16	3.029839	-0.013428  1592479026.0568
112.679252019      37.720523766       1.21	3.030293	-0.096235  1592479026.1584
112.679251090      37.720523923       1.28	3.028408	0.046998  1592479026.2570
112.679250713      37.720523970       1.28	3.028565	0.046998  1592479026.3573
112.679250313      37.720524026       1.41	3.025249	0.105186  1592479026.4578
112.679249896      37.720524079       1.48	3.024569	0.335702  1592479026.5575
112.679249481      37.720524135       1.55	3.021392	0.062664  1592479026.6567
112.679249065      37.720524193       1.49	3.020711	-0.040284  1592479026.7576
112.679248638      37.720524244       1.50	3.019751	-0.033570  1592479026.8578
112.679248207      37.720524304       1.59	3.019995	-0.243943  1592479026.9611
112.679247758      37.720524356       1.70	3.022160	-0.167851  1592479027.0612
112.679247295      37.720524407       1.79	3.024411	-0.416270  1592479027.1569
112.679246715      37.720524294       1.79	3.029403	-0.416270  1592479027.2568
112.679246168      37.720524339       1.89	3.033417	-0.391652  1592479027.3574
112.679245663      37.720524378       1.87	3.041428	-0.516980  1592479027.4571
112.679245191      37.720524411       1.79	3.052232	-0.657975  1592479027.5601
112.679244698      37.720524437       1.80	3.059440	-0.713925  1592479027.6571
112.679244168      37.720524469       1.96	3.066875	-0.438650  1592479027.7568
112.679243633      37.720524499       2.06	3.077225	-0.863872  1592479027.8577
112.679243088      37.720524516       2.03	3.089651	-1.094387  1592479027.9573
112.679242508      37.720524523       2.03	3.107436	-1.094387  1592479028.0568
112.679241882      37.720524518       2.33	3.129550	-1.512895  1592479028.1567
112.679241623      37.720524250       2.41	3.149848	-1.009343  1592479028.2577
112.679240948      37.720524220       2.59	3.168505	-0.946679  1592479028.3579
112.679240306      37.720524184       2.41	3.189467	-1.183908  1592479028.4569
112.679239708      37.720524136       2.33	3.216136	-1.199574  1592479028.5580
112.679239121      37.720524065       2.40	3.248424	-1.282380  1592479028.6580
112.679238471      37.720523962       11.20	3.281411	18.177122  1592479028.7571
112.679237753      37.720523836       11.20	3.312652	18.177122  1592479028.8572
112.679237020      37.720523701       2.74	3.344068	-1.450231  1592479028.9568
112.679236304      37.720523550       2.97	3.372692	-1.519609  1592479029.0569
112.679235618      37.720523394       2.80	3.396777	-1.439041  1592479029.1569
112.679234392      37.720523193       2.75	3.417756	-1.103339  1592479029.2571
112.679233707      37.720523013       2.62	3.435803	-1.152575  1592479029.3568
112.679232997      37.720522821       2.78	3.457567	-1.076483  1592479029.4604
112.679232286      37.720522606       2.83	3.483834	-1.284618  1592479029.5573
112.679231569      37.720522372       2.97	3.513697	-1.416661  1592479029.6607
112.679230845      37.720522109       2.97	3.548533	-1.416661  1592479029.7567
112.679230106      37.720521815       3.04	3.584330	-1.293570  1592479029.8576
112.679229375      37.720521514       2.99	3.617265	-1.530799  1592479029.9568
112.679228679      37.720521206       2.92	3.642642	-0.895205  1592479030.0568
112.679227984      37.720520891       3.05	3.653812	-0.194707  1592479030.1568
112.679226579      37.720520517       2.93	3.656727	-0.221563  1592479030.2575
112.679225880      37.720520218       2.82	3.658611	-0.176803  1592479030.3569
112.679225211      37.720519914       3.09	3.666849	0.000000  1592479030.4566
112.679224483      37.720519592       3.09	3.671492	0.000000  1592479030.5571
112.679223649      37.720519219       3.09	3.673534	0.000000  1592479030.6568
112.679222770      37.720518825       3.09	3.677409	0.000000  1592479030.7570
112.679221887      37.720518421       3.09	3.681685	0.000000  1592479030.8568
112.679221028      37.720518022       3.09	3.688561	0.000000  1592479030.9592
112.679220180      37.720517620       3.09	3.696188	0.000000  1592479031.0580
112.679219331      37.720517216       3.09	3.701442	0.000000  1592479031.1571
112.679218836      37.720516999       3.09	3.707167	0.000000  1592479031.2589
112.679217984      37.720516578       3.09	3.715719	0.000000  1592479031.3570
112.679217093      37.720516132       3.09	3.724986	0.000000  1592479031.4580
112.679216209      37.720515681       3.09	3.734446	0.000000  1592479031.5590
112.679215321      37.720515220       3.09	3.744080	0.000000  1592479031.6568
112.679214434      37.720514750       3.09	3.751707	0.000000  1592479031.7572
112.679213543      37.720514267       3.09	3.762075	0.000000  1592479031.8577
112.679212678      37.720513793       3.09	3.773175	0.000000  1592479031.9577
112.679211815      37.720513306       3.09	3.784781	0.000000  1592479032.0569
112.679210930      37.720512796       3.09	3.794643	0.000000  1592479032.1583
112.679210044      37.720512243       3.09	3.802252	0.000000  1592479032.2577
112.679209178      37.720511722       3.09	3.809739	0.000000  1592479032.3571
112.679208308      37.720511181       3.09	3.818780	0.000000  1592479032.4569
112.679207412      37.720510605       3.09	3.832795	0.000000  1592479032.5582
112.679206509      37.720510001       3.09	3.850947	0.000000  1592479032.6645
112.679205590      37.720509366       3.09	3.869255	0.000000  1592479032.7569
112.679204655      37.720508695       3.09	3.890688	0.000000  1592479032.8578
112.679203708      37.720507986       3.09	3.913604	0.000000  1592479032.9567
112.679202770      37.720507249       3.09	3.938545	0.000000  1592479033.0571
112.679201837      37.720506489       3.09	3.958424	0.000000  1592479033.1571
112.679201128      37.720505845       3.09	3.972666	0.000000  1592479033.2570
112.679200173      37.720505027       3.09	3.985965	0.000000  1592479033.3575
112.679199224      37.720504190       3.09	4.005531	0.000000  1592479033.4575
112.679198307      37.720503335       3.09	4.030367	0.000000  1592479033.5575
112.679197411      37.720502448       3.09	4.053597	0.000000  1592479033.6581
112.679196537      37.720501543       3.09	4.078520	0.000000  1592479033.7582
112.679195697      37.720500628       3.09	4.103374	0.000000  1592479033.8611
112.679194879      37.720499682       3.09	4.126744	0.000000  1592479033.9569
112.679194055      37.720498702       3.09	4.145646	0.000000  1592479034.0567
112.679193240      37.720497694       3.09	4.160237	0.000000  1592479034.1574
112.679192167      37.720496682       3.09	4.172157	0.000000  1592479034.2588
112.679191373      37.720495677       3.09	4.182996	0.000000  1592479034.3566
112.679190594      37.720494665       3.09	4.193119	0.000000  1592479034.4571
112.679189846      37.720493659       3.09	4.208774	0.000000  1592479034.5586
112.679189131      37.720492653       3.09	4.227152	0.000000  1592479034.6574
112.679188422      37.720491613       3.09	4.241883	0.000000  1592479034.7572
112.679187725      37.720490560       3.09	4.257242	0.000000  1592479034.8570
112.679187065      37.720489515       3.09	4.276004	0.000000  1592479034.9577
